,Episode,c&c,audio,video,be
0,0,0.014650000000000035,0.01065,0.028360000000000194,0.045238000000000174
1,1,0.010794999999997914,0.009374999999999752,0.021139999999999343,0.051393999999998635
2,2,0.017005000000001803,0.018674999999999588,0.03481999999999965,0.04098999999999946
3,3,0.01298500000000856,0.01117500000000117,0.022460000000004508,0.05363200000000868
4,4,0.015400000000008116,0.01357500000000135,0.03032000000000509,0.04053400000000771
5,5,0.012279999999989544,0.011774999999998703,0.027449999999990204,0.05386599999999407
6,6,0.015099999999989233,0.008324999999999083,0.025089999999990464,0.05052399999999443
7,7,0.013779999999989379,0.010574999999998835,0.02496999999999048,0.05138199999999435
8,8,0.012354999999989536,0.009224999999998984,0.026199999999990342,0.049011999999994595
9,9,0.013494999999989415,0.009299999999998976,0.023899999999990595,0.05231799999999427
10,10,0.02019999999998867,0.013274999999998538,0.034429999999989434,0.04476399999998385
11,11,0.013269999999989434,0.010874999999998802,0.027069999999990248,0.05417799999998283
12,12,0.011739999999989603,0.009824999999998918,0.019749999999991052,0.06108999999998204
13,13,0.017439999999988975,0.00989999999999891,0.03031999999998989,0.04968999999998332
14,14,0.01250499999998952,0.010499999999998844,0.023229999999990668,0.056685999999982556
15,15,0.01512999999998923,0.008549999999999058,0.028179999999990123,0.04643199999998368
16,16,0.011244999999989657,0.00944999999999896,0.025779999999990387,0.05231199999998303
17,17,0.012984999999989467,0.011699999999998711,0.023469999999990644,0.048405999999983455
18,18,0.013044999999989459,0.008399999999999075,0.021999999999990805,0.052431999999983006
19,19,0.015010000000042545,0.008399999999999075,0.025020000000004306,0.04637800000000591
20,20,0.012430000000074593,0.008850000000006908,0.023800000000033055,0.05025400000006156
21,21,0.012025000000074337,0.01125000000000842,0.02576000000003429,0.048178000000060256
22,22,0.015115000000076284,0.011700000000008703,0.03236000000003845,0.04227400000005654
23,23,0.01274500000007479,0.009300000000007191,0.02294000000003251,0.04821400000006028
24,24,0.01141000000007395,0.009975000000007617,0.01989000000003059,0.04907800000006082
25,25,0.01274500000007479,0.007875000000006294,0.023870000000033097,0.04975600000006125
26,26,0.014635000000075981,0.01372500000000998,0.027980000000035688,0.04979200000006127
27,27,0.01411000000007565,0.011025000000008278,0.026780000000034932,0.044302000000057816
28,28,0.010840000000073591,0.007950000000006341,0.017340000000028985,0.05536000000006478
29,29,0.00979000000007293,0.008925000000006955,0.016950000000028737,0.06731800000007232
30,30,0.013885000000075509,0.008175000000006483,0.023370000000032785,0.04854400000006048
31,31,0.014800000000076086,0.009975000000007617,0.027830000000035594,0.05671000000006563
32,32,0.011785000000074186,0.01290000000000946,0.022160000000032022,0.05461000000006431
33,33,0.013270000000075121,0.010575000000007995,0.027960000000035675,0.046750000000059355
34,34,0.01627000000007701,0.009000000000007002,0.02619000000003456,0.05069200000006184
35,35,0.015415000000076473,0.011400000000008514,0.02962000000003672,0.05093200000006199
36,36,0.014845000000076113,0.007800000000006246,0.024740000000033645,0.04324000000005714
37,37,0.015145000000076302,0.014475000000010452,0.028610000000036086,0.06009400000006776
38,38,0.016540000000072518,0.012375000000009129,0.03823000000004215,0.04813600000006023
39,39,0.01418500000005749,0.010725000000012086,0.02811000000006286,0.05173000000001764
40,40,0.011965000000056092,0.009675000000011424,0.02083000000005827,0.059440000000022496
41,41,0.013810000000057254,0.009150000000011094,0.025800000000061402,0.04891600000001586
42,42,0.012250000000056271,0.009675000000011424,0.0215100000000587,0.0543640000000193
43,43,0.013315000000056943,0.008925000000010952,0.026850000000062064,0.05206600000001785
44,44,0.011770000000055968,0.01117500000001237,0.022960000000059613,0.058384000000021835
45,45,0.015070000000058047,0.01087500000001218,0.030760000000064527,0.042676000000011934
46,46,0.014365000000057604,0.009600000000011377,0.027950000000062758,0.053020000000018455
47,47,0.01423000000005752,0.011400000000012511,0.02830000000006298,0.05454400000001941
48,48,0.01448500000005768,0.014025000000014165,0.027040000000062184,0.04256200000001186
49,49,0.01255000000005646,0.011550000000012606,0.025690000000061334,0.05203600000001783
50,50,0.013315000000056943,0.008625000000010763,0.021370000000058613,0.053440000000018716
51,51,0.011380000000055724,0.010275000000011802,0.019200000000057244,0.05301400000001845
52,52,0.017095000000059323,0.01905000000001733,0.030400000000064303,0.0435760000000125
53,53,0.01720000000005939,0.014250000000014307,0.036250000000067985,0.04753000000001499
54,54,0.014710000000057821,0.01252500000001322,0.029480000000063723,0.05639800000002058
55,55,0.021760000000062264,0.014925000000014732,0.03390000000006651,0.039370000000009855
56,56,0.01723000000005941,0.009975000000011613,0.029340000000063635,0.04795000000001526
57,57,0.015475000000058303,0.010950000000012228,0.03048000000006435,0.04460800000001315
58,58,0.014365000000057604,0.00870000000001081,0.027610000000062543,0.04917400000001603
59,59,0.01201000000005612,0.00787500000001029,0.024150000000060363,0.052630000000018204
60,60,0.016465000000058926,0.01117500000001237,0.027490000000062468,0.04358200000001251
61,61,0.012715000000056565,0.008550000000010716,0.023370000000059874,0.04889200000001585
62,62,0.015955000000058606,0.011925000000012842,0.034470000000066864,0.04153000000001121
63,63,0.01475500000005785,0.010575000000011991,0.026020000000061543,0.05023000000001669
64,64,0.015340000000058219,0.014025000000014165,0.03169000000006512,0.044062000000012806
65,65,0.014110000000057443,0.009300000000011188,0.024440000000060545,0.04823800000001544
66,66,0.014050000000057405,0.01035000000001185,0.027120000000062237,0.05362000000001883
67,67,0.01748500000005957,0.009150000000011094,0.032090000000065365,0.0481780000000154
68,68,0.01174000000005595,0.009750000000011472,0.023930000000060226,0.04735000000001488
69,69,0.016525000000058965,0.010275000000011802,0.030310000000064244,0.05065000000001696
70,70,0.014665000000057793,0.011400000000012511,0.0254800000000612,0.04465000000001318
