,Episode,p1_q,p2_q,p1_e,p2_e
0,0,0.006135,0.01575,0.007050000000000001,0.038628
1,1,0.006869999999999999,0.014688,0.007845000000000001,0.038016
2,2,0.00633,0.018246,0.00729,0.041058000000000004
3,3,0.00735,0.013103999999999996,0.00825,0.035885999999999994
4,4,0.008369999999999999,0.012317999999999997,0.009195,0.03522
5,5,0.00369,0.019548,0.004784999999999999,0.04239000000000001
6,6,0.0078,0.01389,0.008595,0.036677999999999995
7,7,0.00654,0.016572,0.007619999999999999,0.039444
8,8,0.007214999999999999,0.013727999999999997,0.007814999999999999,0.03637199999999999
9,9,0.00801,0.014436000000000003,0.008924999999999999,0.037038
10,10,0.007364999999999999,0.014742,0.00819,0.037458000000000005
11,11,0.008235,0.014507999999999997,0.009,0.036954
12,12,0.006359999999999999,0.015702,0.0074399999999999996,0.037877999999999995
13,13,0.0061649999999999995,0.01749,0.007124999999999999,0.04002
14,14,0.007680000000000001,0.013680000000000001,0.0087,0.0363
15,15,0.0067649999999999984,0.015522000000000003,0.007665,0.038064
16,16,0.007424999999999999,0.014807999999999998,0.00813,0.037566
17,17,0.006914999999999999,0.015210000000000001,0.007845,0.038088000000000004
18,18,0.005999999999999999,0.016560000000000002,0.00693,0.038904
19,19,0.005894999999999999,0.017405999999999998,0.006885,0.04033199999999999
20,20,0.0063750000000000005,0.015726,0.007199999999999998,0.03851999999999999
21,21,0.00726,0.014466,0.008354999999999998,0.037548000000000005
22,22,0.006225,0.014483999999999995,0.007155,0.037008
23,23,0.005835,0.018491999999999998,0.006689999999999999,0.041471999999999995
24,24,0.007305000000000001,0.016343999999999997,0.008115,0.038759999999999996
25,25,0.004605,0.018911999999999998,0.005595,0.041604
26,26,0.007485,0.014814000000000003,0.00825,0.037674000000000006
27,27,0.007125000000000001,0.015965999999999998,0.007935,0.039162
28,28,0.0069900000000000006,0.016782000000000002,0.007875,0.039192000000000005
29,29,0.00864,0.012215999999999996,0.009615,0.035178
30,30,0.0074399999999999996,0.014910000000000001,0.00816,0.037919999999999995
31,31,0.006975,0.015708000000000003,0.00801,0.038112
32,32,0.006869999999999999,0.015066000000000001,0.00762,0.038016
33,33,0.0067649999999999984,0.016134,0.007694999999999999,0.039257999999999994
34,34,0.006749999999999999,0.017064000000000003,0.0077399999999999995,0.039689999999999996
35,35,0.005505,0.018996000000000002,0.00624,0.042276
36,36,0.006795,0.015066000000000001,0.007649999999999999,0.037632
37,37,0.00678,0.016715999999999998,0.0076950000000000005,0.039354
38,38,0.005880000000000001,0.016871999999999998,0.00669,0.039396
39,39,0.005730000000000001,0.017388000000000004,0.006645,0.040260000000000004
40,40,0.00912,0.012240000000000003,0.00987,0.034691999999999994
41,41,0.0048449999999999995,0.019314,0.00594,0.041807999999999984
42,42,0.00678,0.014118000000000002,0.007529999999999999,0.036486
43,43,0.006795000000000001,0.015701999999999997,0.007755,0.038166000000000005
44,44,0.007094999999999999,0.015618000000000003,0.008084999999999998,0.038711999999999996
45,45,0.006720000000000001,0.015282,0.00771,0.037590000000000005
46,46,0.006645,0.014880000000000003,0.007574999999999998,0.037506
47,47,0.009569999999999999,0.010949999999999998,0.01032,0.033468
48,48,0.007619999999999999,0.013338000000000001,0.008790000000000001,0.036438
49,49,0.006209999999999999,0.016001999999999995,0.007155,0.038711999999999996
50,50,0.0055049999999999995,0.015234000000000001,0.006509999999999999,0.038136
51,51,0.007139999999999999,0.014196,0.007994999999999999,0.037427999999999996
52,52,0.006105,0.015653999999999998,0.007005,0.03783
53,53,0.007755,0.015846,0.00867,0.038057999999999995
54,54,0.006795,0.015552000000000002,0.007605000000000001,0.03820199999999999
55,55,0.007665,0.014699999999999998,0.008475,0.037866
56,56,0.006209999999999999,0.015834,0.007214999999999999,0.038706
57,57,0.00528,0.017706,0.006285000000000001,0.040637999999999994
58,58,0.008475,0.01428,0.00963,0.037236
59,59,0.007905,0.013313999999999998,0.00864,0.036126000000000005
60,60,0.00636,0.014477999999999996,0.00711,0.036852
61,61,0.00828,0.014454,0.009284999999999998,0.037314
62,62,0.00648,0.015173999999999998,0.0074399999999999996,0.037481999999999994
63,63,0.007514999999999999,0.014202,0.00828,0.037164
64,64,0.006735,0.015576,0.0077849999999999985,0.038220000000000004
65,65,0.00813,0.01353,0.009165,0.036498
66,66,0.005745,0.016799999999999995,0.00648,0.03912
67,67,0.006885,0.014831999999999998,0.007785,0.037259999999999995
68,68,0.00669,0.014754,0.0075000000000000015,0.03723599999999999
69,69,0.00765,0.015605999999999998,0.00864,0.03795
70,70,0.006254999999999999,0.019032,0.007095,0.04184400000000001
71,71,0.0077399999999999995,0.014508000000000004,0.008445,0.037104000000000005
72,72,0.008265,0.014076,0.009255,0.036635999999999995
73,73,0.008445,0.011562,0.009555,0.034602
74,74,0.006750000000000001,0.016332,0.007725,0.038880000000000005
75,75,0.007050000000000001,0.014802,0.00789,0.037812
76,76,0.00615,0.016361999999999998,0.006855,0.039516
77,77,0.006840000000000001,0.015029999999999998,0.007725,0.03757799999999999
78,78,0.006809999999999999,0.017094,0.007650000000000001,0.04044
79,79,0.006675,0.015864,0.007605000000000001,0.038772
80,80,0.007665,0.014196000000000002,0.00861,0.036978
81,81,0.00732,0.01539,0.00834,0.038453999999999995
82,82,0.0060149999999999995,0.017927999999999996,0.006959999999999999,0.040583999999999995
83,83,0.006839999999999999,0.016427999999999998,0.0077399999999999995,0.039209999999999995
84,84,0.00573,0.016176,0.0066,0.03915
85,85,0.004739999999999999,0.018317999999999997,0.005565,0.040998
86,86,0.00606,0.016644,0.00708,0.039467999999999996
87,87,0.005685,0.017148,0.006435000000000001,0.040091999999999996
88,88,0.006525,0.017909999999999995,0.00741,0.04126799999999999
89,89,0.00723,0.015756,0.00804,0.038537999999999996
90,90,0.0052499999999999995,0.017856,0.005880000000000001,0.04037999999999999
91,91,0.0071849999999999995,0.015456,0.008055,0.037638000000000005
92,92,0.006914999999999999,0.015599999999999998,0.007845,0.038897999999999995
93,93,0.00546,0.017879999999999997,0.006225,0.04089
94,94,0.005865,0.018155999999999995,0.006945,0.041226000000000006
95,95,0.00717,0.016409999999999998,0.008235000000000001,0.039318
96,96,0.007665000000000001,0.014795999999999997,0.0087,0.037734000000000004
97,97,0.0069450000000000015,0.015323999999999999,0.007965,0.03747
98,98,0.007050000000000001,0.015125999999999999,0.007665,0.037433999999999995
99,99,0.006735,0.016157999999999995,0.007679999999999999,0.038772
100,100,0.007469999999999999,0.014856000000000003,0.008069999999999999,0.037968
101,101,0.007350000000000001,0.015605999999999998,0.008025000000000001,0.038646
102,102,0.0075450000000000005,0.015480000000000002,0.00852,0.038646
103,103,0.0071849999999999995,0.013026,0.008069999999999999,0.03579
104,104,0.007050000000000001,0.015419999999999998,0.007994999999999999,0.038273999999999996
105,105,0.00669,0.016536,0.007725,0.039
106,106,0.0065699999999999995,0.013373999999999999,0.0074399999999999996,0.036288
107,107,0.0066,0.014766,0.007725,0.037488
108,108,0.006584999999999999,0.016284,0.007094999999999999,0.038886
109,109,0.0073349999999999995,0.015563999999999998,0.008205,0.038256
110,110,0.005324999999999999,0.017262,0.00603,0.040091999999999996
111,111,0.0061649999999999995,0.015648000000000002,0.006975,0.038388
112,112,0.00717,0.015299999999999998,0.00819,0.038406
113,113,0.0071849999999999995,0.014682000000000002,0.008354999999999998,0.037085999999999994
114,114,0.004529999999999999,0.018888000000000002,0.0055650000000000005,0.041748
115,115,0.0048000000000000004,0.017081999999999996,0.005865,0.039804
116,116,0.0068249999999999995,0.015288,0.00786,0.03846
117,117,0.00693,0.014916,0.007814999999999999,0.037770000000000005
118,118,0.0061649999999999995,0.017154,0.0069900000000000006,0.039695999999999995
119,119,0.0063,0.017118,0.007244999999999999,0.03978600000000001
120,120,0.00747,0.015971999999999997,0.008385,0.038346
121,121,0.007514999999999999,0.015300000000000003,0.008369999999999999,0.037692
122,122,0.005835,0.016836000000000004,0.006705,0.040091999999999996
123,123,0.008535000000000001,0.012119999999999997,0.009435,0.034524000000000006
124,124,0.006885,0.014892,0.00771,0.037422000000000004
125,125,0.005955,0.016698,0.006869999999999999,0.039522
126,126,0.007155,0.016367999999999997,0.008174999999999998,0.03867
127,127,0.006885,0.01431,0.007665,0.036773999999999994
128,128,0.0063,0.016451999999999998,0.007274999999999999,0.039066000000000004
129,129,0.006030000000000001,0.015186000000000002,0.007094999999999999,0.037896
130,130,0.00648,0.015653999999999998,0.007455000000000001,0.038658
131,131,0.00615,0.016896,0.006959999999999999,0.040145999999999994
132,132,0.00513,0.018029999999999997,0.005985000000000001,0.040931999999999996
133,133,0.006345000000000001,0.016187999999999994,0.00729,0.03954
134,134,0.007199999999999998,0.015552000000000002,0.007935000000000001,0.038118
135,135,0.00717,0.013931999999999998,0.008055,0.03713399999999999
136,136,0.00624,0.018659999999999996,0.006945,0.041262
137,137,0.00618,0.015516,0.007035,0.038646
138,138,0.005535,0.019307999999999995,0.00663,0.04214999999999999
139,139,0.0068249999999999995,0.014424000000000001,0.007845,0.037290000000000004
140,140,0.004905,0.016596,0.005880000000000001,0.039498000000000005
141,141,0.006839999999999999,0.015816,0.007725,0.038754
142,142,0.006495000000000001,0.015635999999999997,0.007305000000000001,0.038256
143,143,0.005715,0.018342,0.0067649999999999984,0.04137
144,144,0.0035699999999999994,0.019649999999999997,0.0045449999999999996,0.043031999999999994
145,145,0.005639999999999999,0.015515999999999999,0.006495000000000001,0.038682
146,146,0.006555,0.014676000000000002,0.0072749999999999985,0.037386
147,147,0.007544999999999999,0.015042000000000005,0.00813,0.03795599999999999
148,148,0.00498,0.018366,0.00552,0.041364
149,149,0.007455000000000001,0.01542,0.00843,0.03828
150,150,0.00591,0.017730000000000003,0.007020000000000001,0.040452
151,151,0.0087,0.013722000000000002,0.009479999999999999,0.036840000000000005
152,152,0.00633,0.018036,0.007095,0.041117999999999995
153,153,0.007079999999999999,0.016739999999999998,0.008055000000000001,0.039911999999999996
154,154,0.004784999999999999,0.018816000000000003,0.005699999999999999,0.040812
155,155,0.006900000000000001,0.014748,0.007694999999999999,0.03756
156,156,0.00654,0.016806,0.007394999999999999,0.039588
157,157,0.007935000000000001,0.013536000000000001,0.008985,0.036162
158,158,0.006795,0.015144,0.007785,0.038214
159,159,0.006735,0.014724,0.00756,0.0378
160,160,0.00567,0.017057999999999997,0.00633,0.039534
161,161,0.00858,0.013361999999999999,0.009525,0.036084
162,162,0.007949999999999999,0.013026000000000003,0.009015,0.035724
163,163,0.00552,0.01695,0.00615,0.040074
164,164,0.006284999999999999,0.01779,0.00708,0.040637999999999994
165,165,0.005894999999999999,0.016248,0.006645000000000001,0.038772
166,166,0.008655,0.012515999999999998,0.00933,0.03522
167,167,0.00735,0.015941999999999998,0.0081,0.038538
168,168,0.006719999999999999,0.017418,0.007544999999999999,0.040128000000000004
169,169,0.006195000000000001,0.018269999999999998,0.006945,0.041328000000000004
170,170,0.0061200000000000004,0.017484000000000003,0.007095,0.04012199999999999
171,171,0.005879999999999999,0.017778,0.006689999999999999,0.040325999999999994
172,172,0.00636,0.015113999999999999,0.007244999999999999,0.037386
173,173,0.007319999999999998,0.015335999999999999,0.008204999999999999,0.03843
174,174,0.006795,0.016151999999999996,0.00756,0.039048
175,175,0.006675,0.014603999999999997,0.0073349999999999995,0.037734000000000004
176,176,0.007949999999999999,0.014765999999999996,0.00861,0.037806
177,177,0.004635,0.017711999999999995,0.005535,0.04050599999999999
178,178,0.0071849999999999995,0.016715999999999998,0.00798,0.039402
179,179,0.007245,0.014358,0.008025,0.037649999999999996
180,180,0.0058200000000000005,0.017154,0.0064649999999999985,0.040223999999999996
